Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2005-01-31,40.6,41.34,40.6,41.26,6341200.0,0.0,1.0,29.02268540582695,29.551670312238578,29.02268540582695,29.494482754788667,6341200.0
2005-02-28,40.25,40.65,40.02,40.02,8184700.0,0.0,1.0,28.772489841983614,29.05842762923314,28.60807561431514,28.60807561431514,8184700.0
2005-03-31,38.18,38.64,38.1,38.24,6665400.0,0.0,1.0,27.36104490978735,27.690696053278764,27.30371427613667,27.404042885025362,6665400.0
2005-04-30,35.25,35.49,34.56,35.37,10155600.0,0.0,1.0,25.26131045233117,25.433302353283214,24.76683373709405,25.347306402807188,10155600.0
2005-05-31,39.8,39.95,39.33,39.35,7188900.0,0.0,1.0,28.52199024121363,28.629485179308663,28.185172768515883,28.199505426928557,7188900.0
2005-06-30,39.9,40.01,38.84,38.9,7645900.0,0.0,1.0,28.665137667110177,28.744164362433036,27.903607693998982,27.946713164175087,7645900.0
2005-07-31,43.78,43.9,43.25,43.51,5782400.0,0.0,1.0,31.452624738498336,31.538835678850546,31.071859751942736,31.25865012270586,5782400.0
2005-08-31,40.1,40.5,39.52,40.32,11258800.0,0.0,1.0,28.881297593024737,29.16939033709481,28.463563114123136,29.039748602263277,11258800.0
2005-09-30,38.06,38.36,37.77,38.14,7024700.0,0.0,1.0,27.412024598267372,27.62809415631992,27.20315735881657,27.469643147081385,7024700.0
2005-10-31,40.6,41.47,40.55,41.04,12744700.0,0.0,1.0,29.241413523112328,29.868015241464732,29.205401930103566,29.558315541589405,12744700.0
2005-11-30,42.0,42.18,41.71,41.78,7001300.0,0.0,1.0,30.3217613133751,30.451711719003846,30.112396770973223,30.162933039828847,7001300.0
2005-12-31,40.65,40.97,40.42,40.48,5154000.0,0.0,1.0,29.347133271159468,29.57815621449947,29.181085530633844,29.224402332510092,5154000.0
2006-01-31,40.0,40.86,39.82,40.55,10809700.0,0.0,1.0,28.877867917500094,29.498742077726344,28.747917511871343,29.27493860136572,10809700.0
2006-02-28,42.35,42.42,41.7,42.15,12243100.0,0.0,1.0,30.574442657653226,30.62497892650885,30.105177303993848,30.43005331806572,12243100.0
2006-03-31,42.8,42.94,42.22,42.3,9198200.0,0.0,1.0,31.01135390983868,31.112792917954973,30.591106590499745,30.649071737994767,9198200.0
2006-04-30,40.25,40.43,39.93,39.93,9010100.0,0.0,1.0,29.16371483343474,29.29413641529855,28.931854243454637,28.931854243454637,9010100.0
2006-05-31,37.77,38.14,37.61,38.12,12052000.0,0.0,1.0,27.36679526108895,27.63488406825344,27.250864966098895,27.62039278137968,12052000.0
2006-06-30,36.46,36.5,35.63,35.79,24057400.0,0.0,1.0,26.524541022008165,26.553640902449207,25.92071850285658,26.03711802462074,24057400.0
2006-07-31,34.59,34.8,34.35,34.71,8566200.0,0.0,1.0,25.164121611389536,25.316895983704992,24.989522328743295,25.251421252712657,8566200.0
2006-08-31,34.11,34.45,33.96,34.29,10638700.0,0.0,1.0,24.81492304609705,25.062272029845897,24.70579849444315,24.94587250808173,10638700.0
2006-09-30,36.48,36.82,36.23,36.27,8485000.0,0.0,1.0,26.653582295111462,26.90199835816897,26.470923425216235,26.500148844399476,8485000.0
2006-10-31,37.25,37.47,36.95,37.33,14471000.0,0.0,1.0,27.216171614388763,27.37691141989656,26.996980970514493,27.27462245275523,14471000.0
2006-11-30,37.51,38.26,37.23,37.97,17329100.0,0.0,1.0,27.57248107400812,28.123783681459628,27.36666143389289,27.910613339911713,17329100.0
2006-12-31,39.66,40.29,39.65,40.16,11611400.0,0.0,1.0,29.15288188203578,29.615976072295048,29.145531180603093,29.520416953670118,11611400.0
2007-01-31,39.97,40.95,39.95,40.74,11630100.0,0.0,1.0,29.38075362644907,30.101122366852376,29.366052223583697,29.946757636765952,11630100.0
2007-02-28,39.29,39.85,39.29,39.59,26115700.0,0.0,1.0,28.88090592902637,29.29254520925683,28.88090592902637,29.101426972006976,26115700.0
2007-03-31,37.0,37.19,36.35,36.74,12672200.0,0.0,1.0,27.355313314928512,27.49578654546463,26.874746999936526,27.163086788931718,12672200.0
2007-04-30,38.5,38.56,37.83,37.87,20383500.0,0.0,1.0,28.46431250337156,28.508672470909282,27.968959532533663,27.99853284422548,20383500.0
2007-05-31,38.75,39.03,38.57,38.87,9728800.0,0.0,1.0,28.649145701445402,28.856158883288103,28.516065798832237,28.737865636520844,9728800.0
2007-06-30,39.54,39.96,39.12,39.35,13714300.0,0.0,1.0,29.402479394457448,29.714797081500244,29.09016170741465,29.261192821747613,13714300.0
2007-07-31,38.16,38.42,37.08,37.17,29752100.0,0.0,1.0,28.37629270845969,28.569632229009994,27.57319008463536,27.640115303287388,29752100.0
