Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2005-01-31,35.8,35.9,35.23,35.59,11637700.0,0.0,1.0,16.23243053946807,16.277772524215187,15.9739812264095,16.137212371499125,11637700.0
2005-02-28,36.33,36.49,35.9,35.97,6534600.0,0.0,1.0,16.472743058627792,16.54529023422318,16.277772524215187,16.30951191353817,6534600.0
2005-03-31,35.48,35.72,35.06,35.5,7159400.0,0.0,1.0,16.08733618827729,16.196156951670375,15.896899852339402,16.09640458522672,7159400.0
2005-04-30,35.2,35.9,35.04,35.8,12395300.0,0.0,1.0,16.142410547221612,16.46342439333113,16.06903595382515,16.41756527245834,12395300.0
2005-05-31,35.43,35.52,35.32,35.38,7239200.0,0.0,1.0,16.247886525229024,16.289159734014536,16.197441492268958,16.224956964792632,7239200.0
2005-06-30,34.95,34.95,34.53,34.55,9728500.0,0.0,1.0,16.02776274503964,16.02776274503964,15.835154437373927,15.844326261548483,9728500.0
2005-07-31,34.51,34.55,34.2,34.23,9630000.0,0.0,1.0,16.012197690431957,16.030757177757874,15.868361663656131,15.882281279150563,9630000.0
2005-08-31,32.29,32.8,32.16,32.71,10447800.0,0.0,1.0,14.982146143843755,15.218779607249152,14.921827810034534,15.177020760765847,10447800.0
2005-09-30,32.62,32.74,32.37,32.69,8070100.0,0.0,1.0,15.135261914282541,15.190940376260285,15.01926511849558,15.16774101710289,8070100.0
2005-10-31,31.95,32.0,31.2,31.51,17661800.0,0.0,1.0,15.015535937840195,15.03903442913572,14.663058568407326,14.80874921443958,17661800.0
2005-11-30,32.3,32.41,31.91,31.98,17115300.0,0.0,1.0,15.180025376908866,15.23172205775902,14.996737144803776,15.02963503261751,17115300.0
2005-12-31,30.11,30.24,30.0,30.12,17706800.0,0.0,1.0,14.15079145816489,14.211887535533254,14.099094777314738,14.155491156423997,17706800.0
2006-01-31,31.91,31.96,31.63,31.66,13444300.0,0.0,1.0,15.19047489739215,15.214276957713981,15.0571833595899,15.071464595782997,13444300.0
2006-02-28,34.14,34.49,33.7,33.7,12035200.0,0.0,1.0,16.252046787745783,16.418661209998596,16.04258865691368,16.04258865691368,12035200.0
2006-03-31,34.58,34.75,34.03,34.06,20163800.0,0.0,1.0,16.46150491857789,16.542431923672115,16.199682255037757,16.213963491230857,20163800.0
2006-04-30,33.37,33.41,32.92,33.03,10655700.0,0.0,1.0,16.07651719355236,16.095787816499378,15.859722685398372,15.91271689850268,10655700.0
2006-05-31,30.94,31.25,30.76,31.21,11499400.0,0.0,1.0,14.905826849520828,15.055174177360241,14.819109046259232,15.03590355441322,11499400.0
2006-06-30,33.25,33.62,33.08,33.49,11749400.0,0.0,1.0,16.018705324711295,16.19695858697124,15.936805177186455,16.134329062393423,11749400.0
2006-07-31,33.77,34.03,33.65,33.82,12670100.0,0.0,1.0,16.468770227575092,16.59556561576489,16.410249279179798,16.49315395607313,12670100.0
2006-08-31,35.36,35.45,35.17,35.18,5760700.0,0.0,1.0,17.24417279381271,17.28806350510918,17.151514625520164,17.15639137121977,5760700.0
2006-09-30,37.0,37.24,36.96,37.13,17176900.0,0.0,1.0,18.043959088548366,18.16100098533895,18.024452105749937,18.107356782643265,17176900.0
2006-10-31,37.36,37.41,36.2,37.0,31692500.0,0.0,1.0,18.419438118593693,18.444089400872326,17.847528369729435,18.241948886187544,31692500.0
2006-11-30,34.89,35.27,34.86,34.94,13939800.0,0.0,1.0,17.847905569188587,18.042293763980556,17.832559132757645,17.87348296324016,13939800.0
2006-12-31,37.37,37.64,37.15,37.24,10312400.0,0.0,1.0,19.116544314146676,19.254662242025177,19.00400378031975,19.050043089612583,10312400.0
2007-01-31,38.44,38.68,38.11,38.52,12921900.0,0.0,1.0,19.880251530862168,20.004373808890445,19.70958339857329,19.921625623538265,12921900.0
2007-02-28,37.01,37.52,36.61,37.4,19214600.0,0.0,1.0,19.140689624277027,19.404449465087115,18.933819160896565,19.342388326072975,19214600.0
2007-03-31,37.53,38.09,37.45,37.92,15850300.0,0.0,1.0,19.409621226671625,19.69923987540427,19.368247133995535,19.611319928467573,15850300.0
2007-04-30,38.25,38.49,37.69,38.18,18022700.0,0.0,1.0,19.99282240719346,20.11826756739546,19.7001170333888,19.95623423546788,18022700.0
2007-05-31,43.82,43.99,43.52,43.53,14156000.0,0.0,1.0,22.904195500214836,22.993052488691255,22.74738904996234,22.752615931637422,14156000.0
2007-06-30,41.15,41.53,40.85,41.17,12545400.0,0.0,1.0,21.508618092967605,21.70723959662077,21.35181164271511,21.519071856317776,12545400.0
2007-07-31,42.01,43.29,41.75,42.62,24279900.0,0.0,1.0,22.172162230295406,22.84772442155411,22.03493866019598,22.49410983706713,24279900.0
2007-08-31,42.31,42.45,41.61,41.88,10350700.0,0.0,1.0,22.330497118871666,22.404386733540587,21.96104904552706,22.103550445245695,10350700.0
2007-09-30,44.55,44.68,44.17,44.28,10990900.0,0.0,1.0,23.512730953574394,23.581342738624105,23.312173428044467,23.37022955385576,10990900.0
2007-10-31,45.89,46.13,45.5,46.07,13896800.0,0.0,1.0,24.450269340874215,24.57814174535907,24.242476683586332,24.546173644237854,13896800.0
2007-11-30,42.97,43.37,42.78,43.21,13941200.0,0.0,1.0,22.89448841964186,23.107609093783278,22.79325609942469,23.022360824126714,13941200.0
2007-12-31,44.335,44.5,43.64,43.69,9628700.0,0.0,1.0,23.62176272014945,23.70967499823279,23.251465548828737,23.278105633096413,9628700.0
2008-01-31,37.75,39.17,37.51,38.83,17948000.0,0.0,1.0,20.319234171215225,21.083560330768222,20.190052285093593,20.900552658762575,17948000.0
2008-02-29,36.78,37.13,36.21,36.32,16159800.0,0.0,1.0,19.797124048140294,19.98551429873434,19.490317068601414,19.54952543307383,16159800.0
2008-03-31,36.06,36.735,35.93,36.45,12842500.0,0.0,1.0,19.409578389775394,19.772902444492484,19.339604868126173,19.61949895472305,12842500.0
2008-04-30,38.31,39.05,38.25,38.48,18366100.0,0.0,1.0,20.955782646793196,21.360566754301075,20.922962313752013,21.04877359040987,18366100.0
2008-05-31,38.41,38.87,38.17,38.47,12617900.0,0.0,1.0,21.010483201861824,21.262105755177537,20.87920186969711,21.043303534903007,12617900.0
2008-06-30,34.27,35.58,34.15,35.4,19240900.0,0.0,1.0,18.745880222020435,19.46245749341952,18.680239555938073,19.363996494295982,19240900.0
